stagename,dateOfBirth
Rex Harrison,1908
Kathryn Harrold,1950
Lisa Harrow,
Deborah Harry,
Dolores Hart,1938
Dorothy Hart,1923
John Hart,
Veronica Hart,
William S. Hart,1870
Mariette Hartley,1940
David Hartman,1937
Elizabeth Hartman,1941
Ena Hartman,
Lisa Hartman,
Paul Hartman,
Phil Hartman,1948
William Hartnell,1908
Laurence Harvey,
Forrester Harvey,1880
Herk Harvey,
Laurence Harvey,1928
Lilian Harvey,1906
Paul Harvey,1884
Bob Haskins,
O.E. Hasse,1903
David Hasselhoff,
Marilyn Hassett,1947
Signe Hasso,1915
Terry Hatcher,dob
Richard Hatch,
Hurd Hatfield,1918
Rohini Hattangady,
Raymond Hatton,1887
Rondo Hatton,
Rutger Hauer,1944
Max Haufler,19bb
Fay Hauser,
Joachim Hauser,
Wings Hauser,
Thomas Haustein,
June Haver,1926
Nigel Havers,
June Havoc,1916
Jack Hawkins,1910
Jimmy Hawkins,1942
William Hawley,
Goldie Hawn,1945
Jill Haworth,1945
Nigel Hawthorne,1929
Charles Hawtrey,1914
Sessue Hayakawa,1889
Harry Hayden,1884
Linda Hayden,1951
Russell Hayden,1912
Sterling Hayden,1916
Richard Haydn,1905
Julie Haydon,
Helen Haye,1874
Allison Hayes,1930
Gabby Hayes,1885
Helen Hayes,1900
Margaret Hayes,1915
Melvyn Hayes,1935
Peter Lind Hayes,
Dick Haymes,1916
Linda Haynes,
Robert Hays,1948
Joan Haythorne,1915
Louis Hayward,1909
Susan Hayward,1918
Rita Hayworth,1918
Jonathan Haze,
Katherine Healy,
John Heard,1946
Joey Heatherton,1944
Eileen Heckart,1919
David Hedison,1926
Tippi Hedren,1935
Marta Heflin,
Van Heflin,1910
Michael Hegarty,
Julie Hegerty,
O.P. Heggie,1879
Elayne Heilveil,
Richard Hell,
Randee Heller,
Anne Helm,
Florence Helminger,
Katherine Helmond,1929
Tom Helmore,
Robert Helpmann,1909
Margaux Hemingway,1955
Mariel Hemingway,1961
David Hemmings,1941
Albert Henderson,
Skitch Henderson,
Nancy Hendrickson,
Wanda Hendrix,1928
Janet Henfrey,
Sonja Henie,1912
Marilu Henner,
Eva Henning,1920
Pat Henning,
Paul Henreid,1907
Bobby Henrey,1939
Lance Henriksen,
Buck Henry,1930
Charlotte Henry,1913
Gregg Henry,
Justin Henry,1971
Mike Henry,1939
William Henry,1918
Pamela Hensley,
Gladys Henson,1897
Jim Henson,1936
Nicky Henson,
Leslie Henson,1891
Nicky Henson,1945
Audrey Hepburn,1929
Dee Hepburn,
Katherine Hepburn,1907
Bernard Hepton,1925
Holmes Herbert,1882
Hugh Herbert,1887
Percy Herbert,1925
Tim Herbert,
Richard Herd,
Eileen Herlie,1919
PeeWee Herman,
Woodie Herman,
Leila Hermosa,
Juano Hernandez,1896
Marcel Herrand,
Edward Herrmann,1943
Barbara Hershey,1948
Jean Hersholt,1886
Irene Hervey,1910
Arnold Hess~jr.,
Howard Hesseman,
Charlton Heston,1924
Christopher Hewett,
Martin Hewitt,
Louis Jean Heydt,1905
Anne Heywood,1931
Pat Heywood,1927
"Geoffrey Hibbert ",1922
William Hickey,1928
Bill Hickman,
Darryl Hickman,1931
Catherine Hicks,
Russell Hicks,1895
Seymour Hicks,1871
Joan Hickson,1906
Arthur Hill,1922
Benny Hill,1925
Dana Hill,
Howard Hill,1898
Marianna Hill,
Norman Hill,
Terence Hill,1941
Tommy Hill,
Wendy Hiller,1912
John Hillerman,1931
Harriet Hilliard,1914
Candace Hilligoss,
Warren Hillman,
Daisy Hilton,1908
Violet Hilton,1908
Art Hindle,1948
Samuel S. Hinds,1875
Gregory Hines,
Johnny Hines,1895
Maurice Hines,
Pat Hingle,1923
Patrick K. Hinses,
Darby Hinton,
Thora Hird,1913
Judd Hirsch,1936
Robert Hirsch,1929
Alfred Hitchcock,1899
Patricia Hitchcock,1928
Rose Hobart,1906
Halliwell Hobbes,1877
Jack Hobbs,1893
Valerie Hobson,1917
Patricia Hodge,1946
John Hodiak,1914
Dennis Hoey,1893
Michael Hodern,
Basil Hoffman,1941
Dustin Hoffman,1937
Hulk Hogan,
Robert Hogan,
Paul Hogan,
Arthur Hohl,1889
Fred Holbert,
Hal Holbrook,1925
Sarah Holcomb,
Fay Holden,1894
Gloria Holden,1908
Mark Holden,
William Holden,1872
William Holden,1918
Geoffrey Holder,
Heidi Holicker,
Billie Holiday,1915
Anthony Holland,
Judy Holliday,1922
Martha Holliday,
Earl Holliman,1928
Stanley Holloway,1890
Sterling Holloway,1905
Celeste Holm,1919
Ian Holm,1932
Hollye Holmes,
Jennifer Holmes,
Phillips Holmes,1907
Taylor Holmes,1872
Jack Holt,1888
Jennifer Holt,1920
Patrick Holt,1912
Tim Holt,1919
Robert E. Homans,1874
Skip Homeier,1929
Oscar Homolka,
Robert Hooks,1937
Peter Hooten,
Beverly Hope,
Bob Hope,1903
Leslie Hope,
Vida Hope,1918
Anthony Hopkins,1941
Bo Hopkins,1942
Miriam Hopkins,1902
Dennis Hopper,1935
Hedda Hopper,1890
Victoria Hopper,1909
William Hopper,1915
Christiane Hoerbiger,
Paul Hoerbiger,
Michael Hordern,1911
David Horne,1898
Geoffrey Horne,1926
Len Horne,
Lena Horne,1917
Victoria Horne,1920
Lee Horsley,
Edward Everett Horton,1886
Robert Horton,1924
Peter Horton,
Bob Hoskins,1942
Robert Hossein,1927
Harry Houdini,1873
John Houseman,1902
Jerry Houser,
Patrick Houser,
Arthur Housman,1888
Donald Houston,1923
Ren\'ee Houston,1901
Whitney Houston,1960
Arthur Howard,1910
Barbara Howard,
Brie Howard,
Dan Howard,
Clint Howard,
Curly Howard,1906
Esther Howard,1893
John Howard,1913
Kathleen Howard,1879
Ken Howard,1944
Leslie Howard,1890
Mel Howard,
Moe Howard,1895
Ronald Howard,1918
Ron Howard,1953
Shemp Howard,1891
Susan Howard,
Sydney Howard,1884
Trevor Howard,1916
C.Thomas Howell,1967
Cherie Howell,
Frankie Howerd,1921
Bobby Howes,1895
Sally Ann Howes,1930
Arthur Hoyt,1873
John Hoyt,1905
Kelly Hu,
Allan Hubbard,
John Hubbard,
Harold Huber,1904
Season Hubley,
Paul Hubschmid,1917
Cooper Huckabee,
Walter Hudd,1898
David Huddleston,1930
Michael Huddleston,
Bill Hudson,
Ernie Hudson,
Rochelle Hudson,1914
Rock Hudson,1925
Brent Huff,
David Huffman,1945
Barnard Hughes,1915
Kathleen Hughes,1929
Lloyd Hughes,1896
Mary Beth Hughes,1919
Wendy Hughes,
Daniel HughKelly,
Claude Hulbert,1900
Jack Hulbert,1892
Tom Hulce,
Dianne Hull,
Henry Hull,1890
Josephine Hull,1884
Benita Hume,1906
Barry Humphries,
Arthur Hunicutt,1911
Gayle Hunicutt,1942
Helen Hunt,1963
Jimmy Hunt,
Linda Hunt,
Marsha Hunt,1917
Martita Hunt,1900
Glenn Hunter,1897
Holly Hunter,1958
Ian Hunter,1900
Jeffrey Hunter,1925
Kaki Hunter,
Kim Hunter,1922
Tab Hunter,1931
Pam Huntington,
Raymond Huntley,1904
Isabelle Huppert,1955
Elizabeth Hurley,1965
Brandon Hurst,1866
David Hurst,1925
Paul Hurst,1889
Veronica Hurst,1931
John Hurt,1940
Mary Beth Hurt,1948
Tom Hurt,
William Hurt,1950
Ferlin Husky,
Olivia Hussey,1951
Ruth Hussey,1914
Anjelica Huston,1951
John Huston,1906
Walter Huston,1884
David Hucheson,1905
Will Hutchins,1932
Josephine Hutchinson,1898
Harold Huth,1892
Betty Hutton,1921
Jim Hutton,1934
Lauren Hutton,1943
Robert Hutton,1920
Timothy Hutton,1960
Leila Hyams,1905
Wilfred HydeWhite,1903
Martha Hyer,1929
Diana Hyland,1936
Scott Hylands,
Jane Hylton,1926
Warren Hymer,1906
Mike Hynson,
Olaf Hytten,1888
Eric Idle,
James Iglehart,
Iman,1956
A.B. Imenson,
Ralph Ince,1882
Frieda Inescort,1900
Amy Ingersoll,
Rex Ingram,1892
Rex Ingram,1895
Jill Ireland,1936
John Ireland,1914
Jeremy Irons,1948
Michael Ironside,
Robin Irvine,
Amy Irving,1953
Juzo Itami,1934
Manpeii Itami,1976
Zachary Ittimangnaq,
Gregory Itzin,
Rosalind Ivan,1884
Burl Ives,1909
Judith Ivey,
Kereem Abdul Jabar,
Wolfman Jack,
Anne Jackson,1925
Freda Jackson,1909
Glenda Jackson,1937
Gordon Jackson,1923
Jamie Smith Jackson,
Kate Jackson,1950
Michael Jackson,
Samuel L. Jackson,1948
Selmer Jackson,1888
Sherry Jackson,
Thomas Jackson,1886
Irene Jacob,
Derek Jacobi,1938
Lou Jacobi,1913
Scott Jacoby,1956
Hattie Jacques,1924
Richard Jaeckel,1926
Sam Jaffe,1893
Saeed Jaffrey,
Bianca Jagger,1945
Dean Jagger,1903
Henry Jaglom,
Clifton James,1921
Elizabeth James,
Harry James,1916
Jessica James,
Sid James,1913
Sonny James,
Thomas Jameson,1892
Fr\'ed\'erique Jamet,
Emil Jannings,1881
Horst Janson,
David Janssen,1930
Famke Janssen,
Louis January,
Claude Jarman~jr.,1934
Peter Jason,
Rick Jason,1929
Sybil Jason,1929
Michael Jayston,1936
Gloria Jean,1928
Zizi Jeanmaire,1924
Isabel Jeans,1891
Ursula Jeans,1906
Allan Jeayes,1885
Barbara Jefford,1930
Anne Jeffreys,1923
Lang Jeffries,
Lionel Jeffries,1926
Ian Jenble,
Allen Jenkins,1900
Jackie \'Butch' Jenkins,1937
Megs Jenkins,1917
Frank Jenks,1902
Claudia Jennings,
DeWitt Jennings,1879
Salome Jens,1935
Roy Cameron Jensen,
Roy Jenson,
Mary Jerrold,1877
George Jessel,1898
Patricia Jessel,1920
Isabel Jewell,1913
Ann Jillian,
Zita Johann,1904
David Johansen,
Elton John,1947
Rosamund John,1913
Glynis Johns,1923
Mervyn Johns,1899
Arte Johnson,1934
Arthur Johnson,1876
Ben Johnson,1920
Celia Johnson,1908
Chic Johnson,1891
Don Johnson,
Glynis Johnson,
Johnny Johnston,
Katie Johnson,1878
Kay Johnson,1904
Laura Johnson,
Lynn-Holly Johnson,
Michelle Johnson,
Noble Johnson,1897
Rafer Johnson,1935
Richard Johnson,1927
Stephen Johnson,
Tor Johnson,
Van Johnson,1916
Jo Johnston,
Margaret Johnston,1917
Oliver Johnston,1888
Al Jolson,1886
Allan Jones,1907
Barry Jones,1893
Buck Jones,1889
Carolyn Jones,1929
Christopher Jones,1941
Dean Jones,1933
Duane Jones,
Emrys Jones,1915
Freddie Jones,1927
Grace Jones,
Griffith Jones,1910
Hannah Jones,
Henry Jones,1912
James Earl Jones,1931
Jeffrey Jones,
Jennifer Jones,
Jocelyn Jones,
L.Q. Jones,1936
OLan Jones,
Shirley Jones,1934
Spike Jones,1911
Susan Jones,
Terry Jones,
Tommy Lee Jones,1946
Samson Jorah,
Bobbie Jordan,1923
Richard Jordan,1938
Christine Jorgenson,
Victor Jory,1902
Jackie Joseph,
Erland Josephson,
Allyn Joslyn,1905
Darwin Joston,
Louis Jourdan,1919
Louis Jouvet,1887
Leatrice Joy,1899
Robert Joy,
Alice Joyce,1889
Brenda Joyce,1918
Peggy Hopkins Joyce,1893
Ashley Judd,1970
Edward Judd,1932
Robert Judd,
Raul Julia,1940
Gordon Jump,
June,
Katy Jurado,1927
Curt Jurgens,1912
Deana Jurgens,
James Robertson Justice,
Gabi Just,
George Justin,
John Justin,1917
Suzanne Kaaren,
Wolf Kahler,
Florence Kahn,
Jonathan Kahn,
Madeleine Kahn,1942
Toni Kalem,
Helen Kallianoites,
Ida Kaminska,
Anna Kanakis,
Steve Kanaly,
Byron Kane,
Carol Kane,1952
Helen Kane,1904
Jimmy Kane,
Michael Kane,
Gabe Kaplan,
Marvin Kaplin,1924
Shashi Kapoor,
Valerie Kaprisky,
Frank Kaquitts,
Anna Karina,1940
John Karlen,1935
Miriam Karlin,1925
Boris Karloff,1887
Roscoe Karns,1893
Alex Karras,1935
Kevin Karson,
Harold Kasket,1916
Peter Kastner,1944
Kurt Kasznar,1913
Kurt Katch,1896
Rosanne Katon,
William Katt,1955
Daniel Kauffman,
Andy Kaufman,
Joseph Kaufmann,
Dorrie Kavanaugh,
Julie Kavner,
Charles Kay,
Diane Kay,
Caren Kaye,
Danny Kaye,1913
Stubby Kaye,1918
Elia Kazan,1909
Lainie Kazan,
James Keach,
Stacy Keach,1941
Robert Emmett Keane,1883
Buster Keaton,1895
Diane Keaton,1949
Michael Keaton,1952
Steven Keats,1945
Lila Kedrova,1918
Howard Keel,1917
Ruby Keeler,1909
Geoffrey Keen,1916
Malcolm Keen,1888
Tom Keene,1896
Jack Kehoe,
Kishi Keiko,
Andrew Keir,1926
Harvey Keitel,1947
Brian Keith,1921
David Keith,
Ian Keith,1899
Robert Keith,1896
Cecil Kellaway,1891
Dorothy Keller,
Helen Keller,1881
Marthe Keller,1945
Annette Kellerman,1888
Sally Kellerman,1941
Susan Kellerman,
DeForest Kelley,1920
Mike Kellin,1922
Emmett Kelly,1895
Fred Kelly,
Gene Kelly,1912
Grace Kelly,1928
Jeanette Kelly,
Jim Kelly,
Moira Kelly,1969
Nancy Kelly,1921
Patsy Kelly,1910
Paul Kelly,1899
Paula Kelly,
Sharon Kelly,
Tommy Kelly,1928
Moultrie Kelsall,1901
Fred Kelsey,1884
Pert Kelton,1907
Gary Kemp,1959
Jeremy Kemp,1934
Martin Kemp,1961
Rachel Kempson,
Joan KempWelch,1906
Takakura Ken,
Cyrus O. Kendall,1898
Henry Kendall,1887
Kay Kendall,1926
Suzy Kendall,1943
Tony Kendall,
Alexa Kenin,
Arthur Kennedy,1914
Douglas Kennedy,1915
Edgar Kennedy,1890
George Kennedy,1925
Gerard Kennedy,
Jayne Kennedy,
Merna Kennedy,1908
Leon Isaac Kennedy,
James Kenney,1930
Sean Kenney,
Jill Kennington,
Patsy Kensit,1969
Dorothea Kent,
Jean Kent,1921
Keneth Kent,1882
Doris Kenyon,
Bill Kerr,
Deborah Kerr,1921
J. Herbert Kerr~jr.,
John Kerr,1931
Linda Kerridge,
J. M. Kerrigan,1885
Norman Kerry,1889
Kathy Kersh,
Brian Kerwin,
Lance Kerwin,
Jillian Kessner,
Sara Kestelman,
Evelyn Keyes,1919
Mark Keyloun,
Persis Khambatta,1950
Chaka Khan,
Guy Kibbee,1882
Michael Kidd,
Margot Kidder,1948
Nicole Kidman,1967
Dead End Kids,n.a.
East Side Kids,n.a.
Richard Kiel,1939
Wolfgang Kieling,1924
Percy Kilbride,1888
Terry Kilburn,1926
Richard Kiley,1922
Victor Kilian,1897
Val Kilmer,1959
Stanley Kim,1921
Bruce Kimmel,
Anthony Kimmins,1901
Stephen Kinanju,
Adrienne King,
Alan King,1924
Andrea King,1915
Anita King,1889
Bernard King,
Charles King,1889
Charles King,1899
Mabel King,
Pamela King,
Perry King,1948
Stephen King,1940
Walter Woolf King,1899
Zalman King,
Walter Kingsford,1882
Ben Kingsley,1944
Melinda Kinnaman,
Greg Kinnear,1963
Roy Kinnear,1934
Leonid Kinskey,1903
Klaus Kinski,1926
Nastassia Kinsky,1959
Lee Kinsolving,1938
Bruno Kirby,
Phyllis Kirk,1926
Tommy Kirk,1941
Al Kirkeby,
Sally Kirkland,
James Kirkwood,
Oreste Kirkop,
Terry Kiser,
Tawny Kitaen,
Michael Kitchen,
Eartha Kitt,1928
John Kitzmiller,1913
Alf Kjellin,1920
Bodil Kjer,
Robert Klein,
Rudolf KleinRogge,1888
Werner Klemperer,1919
Kevin Kline,
Val Kline,
Debra Klose,
Jack Klugman,1922
Evelyn Knapp,1908
David Knell,
Evel Knievel,
David Knight,1927
Esmond Knight,1906
Sandra Knight,
Shirley Knight,1937
Ted Knight,
Don Knotts,1924
Patric Knowles,1911
Alexander Knox,1907
Walter Koenig,
Fred Kohler sr.,1889
Clarence Kolb,1874
Henry Kolker,1874
Anna Konstam,
Phyllis Konstam,1907
Leopoldine Konstatin,
Keystone Kops,n.a.
Miliza Korjus,1908
Harvey Korman,1927
Charlie Korsmo,
Fritz Kortner,1892
Charles Korvin,1907
Sylva Koscina,1935
Martin Kosleck,1907
Linda Koslowski),
David Kossoff,1919
Sho Kosugi,
Yaphet Kotto,1937
Nancy Kovack,1935
Jeroen Krabbe,
Ernie Kovacs,1919
Jeffrey Kramer,
Werner Krauss,1884
Kurt Kreuger,1917
Lisa Kreuzer,
Anneline Kriel,
Alice Krige,
Sylvia Kristel,1952
Marta Kristen,
Kris Kristofferson,1936
Joseph Kroner,
Alma Kruger,1868
Hardy Kruger,1928
Otto Kruger,1885
Gene Krupa,
Jack Kruschen,1922
Vivian Kubrick,
Youki Kudoh,1971
Paul Kukas,
Nancy Kulp,1919
Cal Kuniholme,
Alwyn Kurts,
Katy Kurtzman,
James Kushner,
Nancy Kwan,1938
Burt Kwouk,1930
Sam Kydd,1917
Machiko Kyo,1924
Kay Kyser,1897
David Labiosa,
Catherine Lacey,1904
Ronald Lacey,
Taylor Lacher,
Stephen Lack,
Frank Lackteen,1894
Denis Lacroix,
Jerry Lacy,
Alan Ladd,1913
Cheryl Ladd,1951
David Ladd,
Diane Ladd,1932
Patricia Laffan,1919
Marcy Lafferty,
Bert Lahr,1895
Christine Lahti,
Gary Lahti,
Frankie Laine,1913
Jenny Laird,1917
Arthur Lake,1905
Veronica Lake,1919
Barbara LaMarr,1896
Hedy Lamarr,1913
Fernando Lamas,1915
Lorenzo Lamas,
Gil Lamb,1906
Christopher Lambert,
Constant Lambert,1905
Jack Lambert,1899
Jack Lambert,1920
Paul Lambert,
Heath Lamberts,
Lloyd Lamble,1914
Duncan Lamont,1918
Molly Lamont,
Dorothy Lamour,1914
Charles Lampkin,
Burt Lancaster,1913
Karl Lanchbury,
Elsa Lanchester,1902
Geoffrey Land,
David Landau,1878
Martin Landau,1933
Judy Landers,
Elissa Landi,1904
Marla Landi,1937
Carole Landis,1919
Cullen Landis,1896
Jessie Royce Landis,1904
Laurene Landon,
Michael Landon,1937
Valerie Landsburg,
Abbe Lane,
Allan \'Rocky' Lane,1901
Charles Lane,1899
Diane Lane,1965
Jocelyn Lane,
Lola Lane,1909
Lupino Lane,1892
Kent Lane,
Mike Lane,
Priscilla Lane,1917
Rosemary Lane,1913
Richard Lane,1900
Rusty Lane,
Tom Lane,
Matheson Lang,1879
Perry Lang,
Robert Lang,1934
Glenn Langan,1917
Harry Langdon,1884
Michael Langdon,
Sue Ane Langdon,1940
Hope Lange,1931
Jessica Lange,1949
Frank Langella,1940
Frances Langford,1914
Lillie Langtry,1853
Angela Lansbury,1925
Joi Lansing,1928
Robert Lansing,1929
Mario Lanza,1921
Laurie Lapinski,
Laura LaPlante,1904
Jane Lapotaire,1941
Rod LaRocque,1896
Erik Larsen,
Ham Larsen,
Keith Larsen,1925
Wolf Larson,1959
Jack LaRue,1927
Louise Lasser,1939
Sidney Lassick,
Lassie,
Louise Latham,
Queen Latifah,19bb
Frank Latimore,
Matt Lattanzi,
Lyle Lattel,
Ellen Hamilton Latzen,
Chester Lauck,1902
Tom Laughlin,1938
Charles Laughton,1899
Cyndi Lauper,1953
Carol Laure,
Stan Laurel,1890
Laurel and Hardy,n.a.
John Laurie,
Piper Laurie,1932
Ed Lauter,1940
Harry Lauter,1920
Daliah Lavi,1940
John Phillip Law,1937
Peter Lawford,1923
Jody Lawrence,1930
Adam Lawrence,
Barbara Lawrence,1928
Bruno Lawrence,
Delphi Lawrence,1927
Florence Lawrence,1886
Gertrude Lawrence,1898
Marc Lawrence,1910
Steve Lawrence,
Leigh Lawson,1944
Wilfrid Lawson,1900
Frank Lawton,1904
George Lazenby,1939
Robin Leach,
Rosemary Leach,
Cloris Leachman,1926
Zarah Leander,1907
Michael Learned,1939
Denis Leary,1958
JeanPierre Leaud,1944
Stanley Leavitt,
Kelly LeBrock,
Francis Lederer,1906
Otto Lederer,
Anna Lee,1914
Berlinda Lee,1935
Bill Lee,1928
Bernard Lee,1908
Brandon Lee,1964
Bruce Lee,1940
Canada Lee,1907
Carl Lee,
China Lee,
Christopher Lee,1922
Cinque Lee,
Cynthia Lee,
Davey Lee,1925
Dixie Lee,1911
Dorothy Lee,1911
Gypsy Rose Lee,1913
Joie Lee,
Mark Lee,
Michele Lee,1942
Robbie Lee,
Peggy Lee,1921
Pinky Lee,
Spike,
Richard Leech,1922
Andrea Leeds,1914
Thelma Leeds,1914
Roger Leenhardt,
Eva leGallienne,
James LeGros,1950
Beatrix Lehman,
Fritz Leiber,1883
Ron Leibman,1937
Don Leifert,
Janet Leigh,1927
Jennifer Jason Leigh,1961
Vivien Leigh,1913
Barbara LeighHunt,1935
Margaret Leighton,1922
Tom Leindecker,
Frederick Leister,1885
Donovan Leitch,
Virginia Leith,1932
Paul LeMat,1952
Harvey Lembeck,1925
Michael Lembeck,
Jack Lemmon,1925
Meadowlark Lemon,
John Lennon,
Jean Lenoir,
Rula Lenska,
Leib Lensky,
Lotte Lenya,1899
Kay Lenz,1953
Rick Lenz,1939
Valerie Leon,
Murray Leonard,1898
Sheldon Leonard,1907
Tea Leoni,
Michael Lerner,
Madeleine Leroux,
Joan Leslie,1925
Bob Lesser,
Bruce Lester,1912
Buddy Lester,
Mark Lester,1958
Al Lettieri,1927
Oscar Levant,1906
Sam Levene,1905
David Lewis,
Diana Lewis,1915
Fiona Lewis,1946
Geoffrey Lewis,
Jenny Lewis,1975
Jerry Lewis,1926
Jerry Lee Lewis,
Joe Lewis,
Ronald Lewis,1928
Sheldon Lewis,1868
Edward Lexy,1897
Viola Leyel,
John Leyton,1939
Brian Libby,
Liberace,
Anne Libert,
Jeremy Licht,
Mitchell Lichtenstein,
Anki Liden,
Ron Liebman,
Lo Lieh,
Albert Lieven,1906
Gordon Lightfoot,
Beatrice Lillie,1898
Elmo Lincoln,1889
Gunnel Lindblom,1931
Eric Linden,1909
Hal Linden,1932
Jennie Linden,1939
Cec Linder,1921
Max Linder,1883
Viveca Lindfors,1920
Audra Lindley,
Olga Lindo,1898
Margaret Lindsay,1910
Mark LinnBaker,
L\'eon M. Lion,
Eugene Lipinski,
Dennis Lipscomb,
Virna Lisi,1937
Francis Lister,1899
Moira Lister,1923
John Litel,1895
John Lithgow,
Ann Little,
Cleavon Little,1939
Lucien Littlefield,1895
Jack Livesey,1901
Roger Livesey,1906
Sam Livesey,1873
Margaret Livingston,1900
Stanley Livingston,
Desmond Llewellyn,
Christopher Lloyd,
Doris Lloyd,1899
Emily Lloyd,
Harold Lloyd,1893
Kathleen Lloyd,
Norman Lloyd,1914
Charles Lloyd-Pack,1905
Tony LoBianco,
Philip Locke,
Sondra Locke,1947
Calvin Lockhart,1934
Gene Lockhart,1891
June Lockhart,1925
Kathleen Lockhart,1893
Heather Locklear,
Gary Lockwood,1937
Margaret Lockwood,1916
Barbara Loden,
John Loder,1898
David Lodge,1922
John Lodge,1903
Jaqueline Logan,
Robert F. Logan,
Robert Loggia,1930
Marie Lohr,1890
Gina Lollobrigida,1927
Herbert Lom,1917
Herbert Lomas,1887
Karina Lombard,1969
Carole Lombard,1908
Sol Lomita,
Julie London,1926
John Lone,
Audrey Long,1924
Avon Long,
Richard Long,1927
Shelley Long,
Walter Long,1879
John Longden,1900
Terence Longden,1922
Claudine Longet,
Ray Lonnen,
Michel Lonsdale,1931
Richard Loo,1903
Herbert Loom,
Nancy Loomis,
Rod Loomis,
Gerry Lopez,
Perry Lopez,
Trini Lopez,1933
Gail Lorber,
Jack Lord,1922
Marjorie Lord,1922
Pauline Lord,1890
Traci Lords,
Tony Lorea,
Sophia Loren,1934
Marion Lorne,1886
Peter Lorre,1904
Joan Lorring,1926
Tilly Losch,1901
Bill Louie,
Joe Louis,
Willard Louis,
Anita Louise,1915
Tina Louise,1934
Bessie Love,1898
Montagu Love,1877
Phyllis Love,
Frank Lovejoy,1912
Linda Lovelace,1952
Dyson Lovell,
Raymond Lovell,1900
Lyle Lovett,1958
Arthur Lowe,1914
Edmund Lowe,1890
Rob Lowe,
Carrie Lowell,1964
Robert Lowery,1916
Lynn Lowry,
Morton Lowry,1908
Myrna Loy,1905
Lisa Lu,
Antonella Lualdi,1931
Arthur Lucan,1887
Lisa Lucas,
Wilfred Lucas,1926
Deborah Luce,
Corinne Luchaire,1921
Laurence Luckinbill,1934
Charles Ludlam,
Lorna Luft,
Bela Lugosi,1882
Paul Lukas,1887
Jorge Luke,
Keye Luke,1904
Aldrick Lukes,
Folco Lulli,1912
Lulu,1948
Joanna Lumley,1946
Dayton Lummis,1903
Barbara Luna,1937
Art Lund,1915
John Lund,1913
Alfred Lunt,1892
Ida Lupino,1914
Stanley Lupino,1893
Paul Lupone,
Alfred Lutter,
Thuy An Luu,1967
Jimmy Lydon,1923
Viola Lyel,1900
Alfred Lynch,1933
Richard Lynch,1936
Paul Lynde,1926
Robert Lynen,1921
Carol Lynley,1942
Ann Lynn,1934
Diana Lynn,1926
Jeffrey Lynn,1909
Leni Lynn,1925
Ralph Lynn,1882
Sharon Lynn,1910
Vera Lynn,1921
Ben Lyon,1901
Sue Lyon,1946
Tom Lyons,
Bert Lytell,1888
James MacArthur,1937
Ralph Macchio,
Simon MacCorkindale,1952
J.Farrell MacDonald,1875
Jeanette MacDonald,
Andie MacDowell,
Niall MacGinnis,1913
Jack MacGowran,1916
Ali MacGraw,1938
Marlena MacGuire,
Stephen Macht,
Helen Mack,1913
Kerry Mack,
Marion Mack,
Dorothy Mackaill,1903
Barry Mackay,1906
Fulton Mackay,
Janet MacLachian,
Kyle MacLachlan,
Sandy Mackendrick,1912
Kenneth MacKenna,1899
Shirley MacLaine,1934
Barton MacLane,1900
Douglass MacLean,1890
Micheal MacLiammoir,1899
Jena Malone,1984
Aline MacMahon,1899
Horace MacMahon,1907
Fred MacMurray,1907
Robert MacNaughton,
Patrick MacNee,1922
Kristy MacNichol,1976
Peter MacNicol,
Norman Macowan,1877
Douglas MacPhail,1910
Elle MacPherson,1966
Jeanie MacPherson,1878
Duncan Macrae,1905
Gordon Macrae,1921
Michael Macrae,
George Macready,1909
Bill Macy,1922
William H. Macy,
Donald Madden,
Peter Madden,1905
Victor Maddern,1926
Amy Madigan,
Guy Madison,1922
Noel Madison,1898
Madonna,1959
Patrick Magee,1924
Anna Magnani,1907
George Maharis,1928
Jock Mahoney,1919
John Mahoney,
Marjorie Main,1890
Marne Maitland,1920
Lee Majors,1940
Eliot Makeham,1882
Chris Makepeace,
Mako,
Mala,1906
Patrick Malahide,
John Malcolm,
Karl Malden,1913
Laurent Malet,
John Malkovich,
Miles Malleson,1888
Tania Mallett,
Boots Mallory,1913
Gina Malo,1909
Dorothy Malone,1925
Eily Malyon,1879
Nick Mancuso,1956
Robert Mandan,
Miles Mander,1888
Silvana Mangano,1937
Karin Mani,
Hank Mann,1887
Guido Mannari,
David Manners,1901
Lucie Mannheim,1895
Ettori Manni,1927
Irene Manning,1917
Dinah Manoff,
Jayne Mansfield,1932
Clelia Mantania,
Paul Mantee,1936
Joe Mantell,
Kiti Manver,
Leslie Manville,
Linda Manz,1961
David Manzy,
Adele Mara,1923
Jean Marais,1913
Marcel Marceau,
Sophie Marceau,1966
Fredric March,1897
Hal March,1920
Jane March,1973
Corinne Marchand,1928
Henri Marchand,1898
Nancy Marchand,
Andrea Marcovicci,
Theodore Marcuse,1920
Janie Mareze,
Arthur Margetson,1897
Margo,1918
Janet Margolin,1943
Stuart Margolin,1940
Michael Margotta,
Cheech Marin,
Jacques Marin,1919
Rikki Marin,
Howard MarionCrawford,1914
Jane March,1973
Jane Marken,1895
Enid Markey,1890
Kika Markham,
Monte Markham,1935
Ted Markland,
John Marley,1916
Hugh Marlowe,1911
Scott Marlowe,
Percy Marmont,1883
Evaristo Marquez,
Sally Marr,
Kenneth Mars,1936
Carol Marsh,1926
Garry Marsh,1902
